id,set,index,source_sheet,view,clothed,facing_original,mirrored,H_px,scale,phi,theta,NF,spread,arm_spread,hand_f,hand_b,lift_f,lift_b,together
cE2_14,cE2,14,7cd45a07-image.png,side,True,east,False,585,1.0256,0.5,0.0,F,0.3503598469996776,0.145,0.08666666666666667,0.05833333333333332,0.013333333333333334,0.0,False
cE2_15,cE2,15,7cd45a07-image.png,side,True,east,False,588,1.0204,0.6026954034482643,0.20539080689652878,F,0.21104199038366034,0.05000000000000002,0.0050000000000000044,0.04500000000000001,0.0,0.02,False
cE2_16,cE2,16,7cd45a07-image.png,side,True,east,False,590,1.0169,0.75,0.5,F,0.24833333333333332,0.05666666666666667,0.009999999999999995,0.046666666666666676,0.0,0.0,True
cE2_17,cE2,17,7cd45a07-image.png,side,True,east,False,591,1.0152,0.75,0.5,F,0.3,0.08666666666666668,0.05,0.03666666666666668,0.0,0.0,True
cE2_18,cE2,18,7cd45a07-image.png,side,True,east,False,585,1.0256,0.0,0.0,N,0.3129792513024614,0.11896666666666683,0.0756333333333335,0.043333333333333335,0.01,0.0,False
cE2_19,cE2,19,7cd45a07-image.png,side,True,east,False,582,1.0309,0.0,0.0,N,0.34473952820613024,0.13166666666666665,0.07999999999999999,0.051666666666666666,0.006666666666666667,0.0,False
cE2_20,cE2,20,7cd45a07-image.png,side,True,east,False,583,1.0292,0.0,0.0,N,0.3575480975856402,0.13660000000000005,0.08000000000000002,0.05660000000000004,0.0,0.005,False
cE2_21,cE2,21,7cd45a07-image.png,side,True,east,False,591,1.0152,0.10627570428757294,0.21255140857514587,N,0.20591252509209634,0.10666666666666665,0.04333333333333332,0.06333333333333332,0.0,0.035,False
cE2_22,cE2,22,7cd45a07-image.png,side,True,east,False,595,1.0084,0.25,0.5,N,0.225,0.0883333333333333,0.02499999999999998,0.06333333333333332,0.0,0.0,True
cE2_23,cE2,23,7cd45a07-image.png,side,True,east,False,596,1.0067,0.25,0.5,N,0.24666666666666667,0.09698333333333331,0.039999999999999994,0.056983333333333316,0.0,0.0,True
cE2_24,cE2,24,7cd45a07-image.png,side,True,east,False,591,1.0152,0.5,0.0,F,0.27857723435984305,0.10666666666666665,0.05333333333333333,0.053333333333333316,0.025,0.0,False
cE2_25,cE2,25,7cd45a07-image.png,side,True,east,False,586,1.0239,0.5,0.0,F,0.34092437194295644,0.1433333333333333,0.08333333333333333,0.06,0.016666666666666666,0.0,False
cE2_26,cE2,26,7cd45a07-image.png,side,True,east,False,587,1.0221,0.5,0.0,F,0.3473610861410172,0.1266666666666667,0.06833333333333334,0.05833333333333335,0.011666666666666667,0.0,False
cE2_27,cE2,27,7cd45a07-image.png,side,True,east,False,588,1.0204,0.75,0.5,F,0.27666666666666667,0.05333333333333333,0.006666666666666668,0.04666666666666666,0.0,0.0,True
cE2_28,cE2,28,7cd45a07-image.png,side,True,east,False,591,1.0152,0.8760522870239517,0.7521045740479033,F,0.18059399481538957,0.09473333333333334,0.05666666666666667,0.038066666666666665,0.021666666666666667,0.0,False
cE2_29,cE2,29,7cd45a07-image.png,side,True,east,False,587,1.0221,0.0,0.0,N,0.31970469061825907,0.11833333333333337,0.07666666666666669,0.041666666666666685,0.013333333333333334,0.0,False
cE2_30,cE2,30,7cd45a07-image.png,side,True,east,False,582,1.0309,0.0,0.0,N,0.35255738213399507,0.12703333333333378,0.07870000000000044,0.04833333333333334,0.005,0.0,False
cE2_31,cE2,31,7cd45a07-image.png,side,True,east,False,583,1.0292,0.0,0.0,N,0.3600468473972779,0.13166666666666668,0.07833333333333334,0.053333333333333344,0.0,0.005,False
cE2_32,cE2,32,7cd45a07-image.png,side,True,east,False,591,1.0152,0.12898177595240617,0.25796355190481235,N,0.17338173739018345,0.0883333333333333,0.026666666666666658,0.06166666666666665,0.0,0.03833333333333333,False
cE2_33,cE2,33,7cd45a07-image.png,side,True,east,False,595,1.0084,0.25,0.5,N,0.20833333333333334,0.08666666666666666,0.026666666666666672,0.059999999999999984,0.0,0.0,True
cE2_34,cE2,34,7cd45a07-image.png,side,True,east,False,595,1.0084,0.34008033096529255,0.6801606619305851,N,0.12905729207613253,0.09833333333333333,0.04166666666666666,0.05666666666666667,0.035,0.0,False
cE2_35,cE2,35,7cd45a07-image.png,side,True,east,False,589,1.0187,0.5,0.0,F,0.3185838992221769,0.13,0.075,0.05500000000000002,0.023333333333333334,0.0,False
cW1_00,cW1,0,c6f74a94-image.png,side,True,west,True,588,1.0204,0.5,0.0,F,0.3437777247399452,0.09838063439065106,0.05342237061769614,0.04495826377295492,0.00333889816360601,0.0,False
cW1_01,cW1,1,c6f74a94-image.png,side,True,west,True,585,1.0256,0.5,0.0,F,0.3721778589914736,0.11333333333333334,0.061666666666666675,0.051666666666666666,0.0,0.0,False
cW1_02,cW1,2,c6f74a94-image.png,side,True,west,True,587,1.0221,0.5,0.0,F,0.35096466863296094,0.11980000000000168,0.06146666666666836,0.05833333333333332,0.0,0.021666666666666667,False
cW1_03,cW1,3,c6f74a94-image.png,side,True,west,True,594,1.0101,0.585654691298796,0.17130938259759199,F,0.23827204545512332,0.0544833333333333,0.003333333333333327,0.05114999999999997,0.0,0.05,False
cW1_04,cW1,4,c6f74a94-image.png,side,True,west,True,596,1.0067,0.75,0.5,F,0.2113144758735441,0.04825291181364395,0.004991680532445933,0.04326123128119802,0.0,0.0,True
cW1_05,cW1,5,c6f74a94-image.png,side,True,west,True,598,1.0033,0.75,0.5,F,0.18,0.06500000000000002,0.02333333333333333,0.041666666666666685,0.0,0.0,True
cW1_06,cW1,6,c6f74a94-image.png,side,True,west,True,595,1.0084,0.8931013271815127,0.7862026543630255,F,0.20747197595322708,0.08166666666666667,0.043333333333333335,0.03833333333333333,0.01,0.0,False
cW1_07,cW1,7,c6f74a94-image.png,side,True,west,True,591,1.0152,0.0,0.0,N,0.3029029849704852,0.08833333333333335,0.05499999999999999,0.033333333333333354,0.0033333333333333335,0.0,False
cW1_08,cW1,8,c6f74a94-image.png,side,True,west,True,587,1.0221,0.0,0.0,N,0.3549338547854843,0.1029900332225914,0.06146179401993357,0.04152823920265783,0.0,0.008305647840531562,False
cW1_09,cW1,9,c6f74a94-image.png,side,True,west,True,588,1.0204,0.0,0.0,N,0.35075233773377335,0.10499999999999998,0.05833333333333332,0.04666666666666666,0.0,0.01,False
cW1_10,cW1,10,c6f74a94-image.png,side,True,west,True,595,1.0084,0.0,0.0,N,0.289351137479695,0.10320000000000012,0.05820000000000011,0.04500000000000001,0.0,0.05333333333333334,False
cW1_11,cW1,11,c6f74a94-image.png,side,True,west,True,600,1.0,0.25,0.5,N,0.16,0.05499999999999998,0.013333333333333322,0.04166666666666666,0.0,0.0,True
cW1_12,cW1,12,c6f74a94-image.png,side,True,west,True,601,0.9983,0.25,0.5,N,0.21333333333333335,0.06666666666666667,0.02333333333333333,0.043333333333333335,0.0,0.0,True
cW1_13,cW1,13,c6f74a94-image.png,side,True,west,True,601,0.9983,0.3818329130985097,0.7636658261970194,N,0.19113474008193151,0.06833333333333334,0.02500000000000001,0.043333333333333335,0.023333333333333334,0.0,False
cW1_14,cW1,14,c6f74a94-image.png,side,True,west,True,593,1.0118,0.5,0.0,F,0.31474011605590557,0.10741666666666665,0.06000000000000001,0.047416666666666635,0.013333333333333334,0.0,False
cW1_15,cW1,15,c6f74a94-image.png,side,True,west,True,588,1.0204,0.5,0.0,F,0.35861055371311024,0.13333333333333336,0.06333333333333334,0.07,0.005,0.0,False
cW1_16,cW1,16,c6f74a94-image.png,side,True,west,True,586,1.0239,0.5,0.0,F,0.3645847329668839,0.14833333333333332,0.07166666666666666,0.07666666666666666,0.0,0.0016666666666666668,False
cW1_17,cW1,17,c6f74a94-image.png,side,True,west,True,593,1.0118,0.5,0.0,F,0.3031158234479563,0.09118333333333341,0.026183333333333406,0.065,0.0,0.04,False
cW1_18,cW1,18,c6f74a94-image.png,side,True,west,True,597,1.005,0.6465129855748885,0.2930259711497769,F,0.15003812886406132,0.04991680532445926,0.004991680532445933,0.04492512479201333,0.0,0.051580698835274545,False
cW1_19,cW1,19,c6f74a94-image.png,side,True,west,True,597,1.005,0.75,0.5,F,0.1611295681063123,0.07393687707641194,0.03820598006644518,0.03573089700996676,0.0,0.0,True
cW1_20,cW1,20,c6f74a94-image.png,side,True,west,True,596,1.0067,0.75,0.5,F,0.29833333333333334,0.07824999999999968,0.04658333333333303,0.03166666666666665,0.0,0.0,True
cW1_21,cW1,21,c6f74a94-image.png,side,True,west,True,589,1.0187,0.0,0.0,N,0.29723868398186604,0.09515859766277127,0.056761268781302165,0.0383973288814691,0.001669449081803005,0.0,False
cW1_22,cW1,22,c6f74a94-image.png,side,True,west,True,587,1.0221,0.0,0.0,N,0.3350933167500289,0.09999999999999998,0.05833333333333332,0.04166666666666666,0.0,0.0033333333333333335,False
cW1_23,cW1,23,c6f74a94-image.png,side,True,west,True,589,1.0187,0.0,0.0,N,0.3459141686875505,0.10779436152570479,0.06135986733001658,0.04643449419568821,0.0,0.011608623548922056,False
cW1_24,cW1,24,c6f74a94-image.png,side,True,west,True,596,1.0067,0.0,0.0,N,0.28482719913321597,0.1,0.05499999999999999,0.04500000000000001,0.0,0.05333333333333334,False
cW1_25,cW1,25,c6f74a94-image.png,side,True,west,True,599,1.0017,0.12587557856248824,0.2517511571249765,N,0.17995877108132513,0.08652246256239601,0.041597337770382714,0.0449251247920133,0.0016638935108153079,0.06156405990016639,False
cW1_26,cW1,26,c6f74a94-image.png,side,True,west,True,602,0.9967,0.25,0.5,N,0.17986798679867988,0.0627062706270627,0.02310231023102309,0.03960396039603961,0.00825082508250825,0.00825082508250825,True
cW1_27,cW1,27,c6f74a94-image.png,side,True,west,True,601,0.9983,0.25,0.5,N,0.25333333333333335,0.061666666666666675,0.026666666666666672,0.035,0.0,0.0,True
cW1_28,cW1,28,c6f74a94-image.png,side,True,west,True,596,1.0067,0.5,0.0,F,0.2843354975549911,0.10166666666666666,0.05833333333333332,0.043333333333333335,0.018333333333333333,0.0,False
cW1_29,cW1,29,c6f74a94-image.png,side,True,west,True,590,1.0169,0.5,0.0,F,0.3512025440416647,0.11813643926788686,0.0632279534109817,0.054908485856905165,0.008319467554076539,0.0,False
cW1_30,cW1,30,c6f74a94-image.png,side,True,west,True,586,1.0239,0.5,0.0,F,0.36174697527103417,0.13477537437603992,0.06988352745424294,0.064891846921797,0.0016638935108153079,0.0033277870216306157,False
cW1_31,cW1,31,c6f74a94-image.png,side,True,west,True,589,1.0187,0.5,0.0,F,0.34942956486759597,0.1281198003327787,0.059900166389351084,0.06821963394342762,0.0,0.011647254575707155,False
cW1_32,cW1,32,c6f74a94-image.png,side,True,west,True,597,1.005,0.6556138507273221,0.31122770145464435,F,0.13684346104896625,0.04833333333333331,0.003333333333333327,0.044999999999999984,0.0,0.04833333333333333,False
cW1_33,cW1,33,c6f74a94-image.png,side,True,west,True,598,1.0033,0.75,0.5,F,0.17,0.07000000000000002,0.03333333333333334,0.03666666666666668,0.0,0.0,True
cW1_34,cW1,34,c6f74a94-image.png,side,True,west,True,595,1.0084,0.8762674519035045,0.752534903807009,F,0.1830657916384687,0.0815307820299501,0.04825291181364394,0.033277870216306155,0.008319467554076539,0.0,False
cW1_35,cW1,35,c6f74a94-image.png,side,True,west,True,591,1.0152,0.0,0.0,N,0.3097026023147227,0.09136212624584719,0.051495016611295685,0.039867109634551506,0.008305647840531562,0.0016611295681063123,False
cW2_00,cW2,0,4d896041-image.png,side,True,west,True,589,1.0187,0.5,0.0,F,0.3448451187925737,0.10333333333333336,0.05500000000000002,0.04833333333333334,0.006666666666666667,0.0,False
cW2_01,cW2,1,4d896041-image.png,side,True,west,True,586,1.0239,0.5,0.0,F,0.371726846107154,0.11225000000000002,0.060000000000000026,0.05224999999999999,0.0016666666666666668,0.0,False
cW2_02,cW2,2,4d896041-image.png,side,True,west,True,588,1.0204,0.5,0.0,F,0.35001419247115967,0.12166666666666666,0.06166666666666666,0.06,0.0,0.02,False
cW2_03,cW2,3,4d896041-image.png,side,True,west,True,593,1.0118,0.5891878073133616,0.17837561462672324,F,0.23437570757153187,0.05766666666666728,0.0043333333333339386,0.053333333333333344,0.0,0.05,False
cW2_04,cW2,4,4d896041-image.png,side,True,west,True,596,1.0067,0.75,0.5,F,0.215,0.049999999999999975,0.0049999999999999906,0.044999999999999984,0.0,0.0,True
cW2_05,cW2,5,4d896041-image.png,side,True,west,True,595,1.0084,0.75,0.5,F,0.18,0.065,0.024999999999999994,0.04000000000000001,0.0,0.0,True
cW2_06,cW2,6,4d896041-image.png,side,True,west,True,594,1.0101,0.8926984902450037,0.7853969804900074,F,0.20797589450032405,0.09000000000000002,0.04666666666666669,0.043333333333333335,0.01,0.0,False
cW2_07,cW2,7,4d896041-image.png,side,True,west,True,589,1.0187,0.0,0.0,N,0.30800208838268966,0.09000000000000002,0.053333333333333344,0.03666666666666668,0.005,0.0,False
cW2_08,cW2,8,4d896041-image.png,side,True,west,True,586,1.0239,0.0,0.0,N,0.35559634280761593,0.09999999999999998,0.05833333333333332,0.04166666666666666,0.0,0.005,False
cW2_09,cW2,9,4d896041-image.png,side,True,west,True,588,1.0204,0.0,0.0,N,0.3544433209057016,0.10500000000000001,0.06,0.04500000000000001,0.0,0.011666666666666667,False
cW2_10,cW2,10,4d896041-image.png,side,True,west,True,595,1.0084,0.0,0.0,N,0.28943231078213066,0.10333333333333333,0.05833333333333332,0.04500000000000001,0.0,0.05333333333333334,False
cW2_11,cW2,11,4d896041-image.png,side,True,west,True,600,1.0,0.25,0.5,N,0.17,0.05499999999999999,0.013333333333333336,0.04166666666666666,0.0,0.0,True
cW2_12,cW2,12,4d896041-image.png,side,True,west,True,600,1.0,0.25,0.5,N,0.215,0.06886666666666619,0.023866666666666175,0.04500000000000001,0.0,0.0,True
cW2_13,cW2,13,4d896041-image.png,side,True,west,True,600,1.0,0.382785413082174,0.765570826164348,N,0.19352808158618265,0.07,0.024999999999999994,0.04500000000000001,0.023333333333333334,0.0,False
cW2_14,cW2,14,4d896041-image.png,side,True,west,True,592,1.0135,0.5,0.0,F,0.3189336782758446,0.11518333333333279,0.06184999999999945,0.053333333333333344,0.013333333333333334,0.0,False
cW2_15,cW2,15,4d896041-image.png,side,True,west,True,587,1.0221,0.5,0.0,F,0.36296436480134925,0.13,0.065,0.065,0.006666666666666667,0.0,False
cW2_16,cW2,16,4d896041-image.png,side,True,west,True,586,1.0239,0.5,0.0,F,0.36779658368439927,0.14785000000000004,0.07285000000000005,0.07499999999999998,0.0,0.0016666666666666668,False
cW2_17,cW2,17,4d896041-image.png,side,True,west,True,592,1.0135,0.5,0.0,F,0.30306782930643983,0.08968333333333336,0.026666666666666672,0.06301666666666669,0.0,0.03833333333333333,False
cW2_18,cW2,18,4d896041-image.png,side,True,west,True,595,1.0084,0.6469342087462897,0.2938684174925793,F,0.15021322293999947,0.04999999999999999,0.0050000000000000044,0.044999999999999984,0.0,0.04833333333333333,False
cW2_19,cW2,19,4d896041-image.png,side,True,west,True,596,1.0067,0.75,0.5,F,0.16166666666666665,0.07166666666666667,0.03666666666666667,0.035,0.0,0.0,True
cW2_20,cW2,20,4d896041-image.png,side,True,west,True,595,1.0084,0.75,0.5,F,0.29833333333333334,0.07833333333333331,0.044999999999999984,0.033333333333333326,0.0,0.0,True
cW2_21,cW2,21,4d896041-image.png,side,True,west,True,588,1.0204,0.0,0.0,N,0.30140277349768874,0.095,0.05666666666666667,0.03833333333333333,0.005,0.0,False
cW2_22,cW2,22,4d896041-image.png,side,True,west,True,585,1.0256,0.0,0.0,N,0.34088635994241673,0.10166666666666668,0.061666666666666675,0.04000000000000001,0.0,0.0,False
cW2_23,cW2,23,4d896041-image.png,side,True,west,True,587,1.0221,0.0,0.0,N,0.3490502143068283,0.10666666666666666,0.061666666666666675,0.044999999999999984,0.0,0.008333333333333333,False
cW2_24,cW2,24,4d896041-image.png,side,True,west,True,595,1.0084,0.0,0.0,N,0.2857507483767603,0.10259999999999997,0.05666666666666664,0.045933333333333326,0.0,0.05,False
cW2_25,cW2,25,4d896041-image.png,side,True,west,True,598,1.0033,0.12604356065928402,0.25208712131856803,N,0.1806602950507614,0.08666666666666667,0.043333333333333335,0.043333333333333335,0.0,0.06,False
cW2_26,cW2,26,4d896041-image.png,side,True,west,True,601,0.9983,0.25,0.5,N,0.18333333333333332,0.065,0.021666666666666667,0.043333333333333335,0.0,0.0,True
cW2_27,cW2,27,4d896041-image.png,side,True,west,True,600,1.0,0.25,0.5,N,0.25166666666666665,0.06666666666666667,0.02500000000000001,0.04166666666666666,0.0,0.0,True
cW2_28,cW2,28,4d896041-image.png,side,True,west,True,594,1.0101,0.5,0.0,F,0.28717350603171093,0.09956666666666669,0.05833333333333335,0.041233333333333344,0.018333333333333333,0.0,False
cW2_29,cW2,29,4d896041-image.png,side,True,west,True,588,1.0204,0.5,0.0,F,0.35336265811265816,0.12499999999999999,0.06666666666666667,0.05833333333333332,0.008333333333333333,0.0,False
cW2_30,cW2,30,4d896041-image.png,side,True,west,True,586,1.0239,0.5,0.0,F,0.36321775846943904,0.1391333333333326,0.07413333333333261,0.065,0.0016666666666666668,0.0,False
